Hugo_Symbol,BAG1,BCL2,BIRC5,CCNB1,ERBB2,ESR1,GRB7,MKI67,MMP11,MYBL2,PGR
TCGA-A2-A0YK-01,-0.623,0.3734,-1.9754,-1.3871,-0.6034,0.6199,-0.6594,-0.478,-0.9582,-0.8054,-0.332
TCGA-A2-A0YL-01,-0.7357,0.7,-0.0009,-0.0692,-0.5698,0.1594,0.0776,0.1982,0.6444,-0.6488,1.2258
TCGA-A2-A0YM-01,-1.1404,-0.8895,1.4808,1.0691,-0.6522,-1.9833,0.3521,1.9398,-0.667,1.246,-1.5695
TCGA-A2-A0YT-01,-0.6673,-0.1398,0.8194,1.2398,-0.2535,0.703,-0.5596,1.0187,-0.7495,0.7152,-0.9247
TCGA-A2-A1FV-01,-0.7948,1.633,-0.7964,-0.0218,-0.3508,0.7179,-0.123,-0.3552,-0.7236,-1.8073,-0.473
TCGA-A2-A1FW-01,-1.0069,0.698,0.5296,0.544,-0.9654,1.0343,-0.6075,1.3156,-1.1478,-0.557,-0.7965
TCGA-A2-A1FX-01,0.574,0.2106,0.2469,0.6781,-0.4509,0.6614,-0.0623,0.4688,-0.6485,0.0668,0.8185
TCGA-A2-A1FZ-01,0.1324,0.7936,-1.3651,-0.9953,0.0736,0.8125,-0.2523,-0.3583,1.028,-0.6581,1.1303
TCGA-A2-A1G0-01,-1.1446,1.1368,-2.219,-1.465,0.8247,0.1183,0.7878,-1.1447,-0.1035,-1.7935,1.0883
TCGA-A2-A1G1-01,-2.0126,-1.2856,0.142,1.7394,2.9774,-1.4335,2.2263,1.248,0.1539,0.48,-0.948
TCGA-A2-A1G4-01,1.0415,0.9159,0.2404,0.1489,-0.7541,1.2082,-0.0679,1.0168,-1.2846,-0.2602,0.8774
TCGA-A2-A1G6-01,-0.0314,0.8372,-2.5529,-1.9045,-0.3438,0.2696,-0.0387,-3.155,-2.9108,-2.8239,1.0552
TCGA-A2-A259-01,0.3166,0.8672,-1.8266,-1.3014,-0.781,0.834,-0.7883,-0.9544,-0.3515,-1.3252,1.1476
TCGA-A2-A25A-01,-0.2216,0.3744,-0.715,-0.4973,-0.9556,0.0043,-0.5702,-0.1287,-0.6915,-0.5496,1.1306
TCGA-A2-A25B-01,-1.517,-0.0398,1.9734,1.143,-0.9821,0.0251,-0.5712,0.8973,0.0048,0.4811,-0.1511
TCGA-A2-A25C-01,0.9505,-0.0385,0.0724,0.619,-0.0542,0.0517,-0.2098,1.4287,0.1235,-0.0804,0.3751
